STUDY_ID	SAMPLE_ID	APC
crc_public_genie_bpc	GENIE-DFCI-036423-74361	-1
crc_public_genie_bpc	GENIE-DFCI-036471-74578	0
crc_public_genie_bpc	GENIE-DFCI-036495-61445	0
crc_public_genie_bpc	GENIE-DFCI-036507-74569	0
crc_public_genie_bpc	GENIE-DFCI-036521-74897	0
crc_public_genie_bpc	GENIE-DFCI-036568-74646	0
crc_public_genie_bpc	GENIE-DFCI-036570-74466	0
crc_public_genie_bpc	GENIE-DFCI-036606-74951	-1
crc_public_genie_bpc	GENIE-DFCI-036621-88500	-1
crc_public_genie_bpc	GENIE-DFCI-036623-88603	1
crc_public_genie_bpc	GENIE-DFCI-036631-74670	0
crc_public_genie_bpc	GENIE-DFCI-036663-88473	0
crc_public_genie_bpc	GENIE-DFCI-036688-73579	-1
crc_public_genie_bpc	GENIE-DFCI-036770-116481	-1
crc_public_genie_bpc	GENIE-DFCI-036772-75012	0
crc_public_genie_bpc	GENIE-DFCI-036807-88810	-1
crc_public_genie_bpc	GENIE-DFCI-036851-88732	0
crc_public_genie_bpc	GENIE-DFCI-036972-88624	0
crc_public_genie_bpc	GENIE-DFCI-037008-88459	0
crc_public_genie_bpc	GENIE-DFCI-037031-130113	0
crc_public_genie_bpc	GENIE-DFCI-037044-159112	0
crc_public_genie_bpc	GENIE-DFCI-037045-88653	0
crc_public_genie_bpc	GENIE-DFCI-037192-88659	0
crc_public_genie_bpc	GENIE-DFCI-037203-88714	0
crc_public_genie_bpc	GENIE-DFCI-037237-116393	0
crc_public_genie_bpc	GENIE-DFCI-037266-116372	0
crc_public_genie_bpc	GENIE-DFCI-037282-116414	-1
crc_public_genie_bpc	GENIE-DFCI-037377-74789	0
crc_public_genie_bpc	GENIE-DFCI-037398-74706	0
crc_public_genie_bpc	GENIE-DFCI-037416-88484	0
crc_public_genie_bpc	GENIE-DFCI-037427-130620	0
crc_public_genie_bpc	GENIE-DFCI-037453-130270	0
crc_public_genie_bpc	GENIE-DFCI-037469-130305	0
crc_public_genie_bpc	GENIE-DFCI-037472-116424	0
crc_public_genie_bpc	GENIE-DFCI-037475-158969	0
crc_public_genie_bpc	GENIE-DFCI-037610-74637	0
crc_public_genie_bpc	GENIE-DFCI-037641-130641	0
crc_public_genie_bpc	GENIE-DFCI-037698-158958	0
crc_public_genie_bpc	GENIE-DFCI-037711-61276	-1
crc_public_genie_bpc	GENIE-DFCI-037717-36216	0
crc_public_genie_bpc	GENIE-DFCI-037792-36211	-1
crc_public_genie_bpc	GENIE-DFCI-037793-48522	0
crc_public_genie_bpc	GENIE-DFCI-037795-48856	0
crc_public_genie_bpc	GENIE-DFCI-037834-74285	0
crc_public_genie_bpc	GENIE-DFCI-037895-48432	0
crc_public_genie_bpc	GENIE-DFCI-037922-88517	-1
crc_public_genie_bpc	GENIE-DFCI-037941-48865	0
crc_public_genie_bpc	GENIE-DFCI-037944-74424	-1
crc_public_genie_bpc	GENIE-DFCI-037963-48454	0
crc_public_genie_bpc	GENIE-DFCI-037965-48493	0
crc_public_genie_bpc	GENIE-DFCI-037974-159050	0
crc_public_genie_bpc	GENIE-DFCI-037979-74703	0
crc_public_genie_bpc	GENIE-DFCI-037984-74576	0
crc_public_genie_bpc	GENIE-DFCI-038203-203595	0
crc_public_genie_bpc	GENIE-DFCI-038340-218971	0
crc_public_genie_bpc	GENIE-DFCI-039020-218518	-1
crc_public_genie_bpc	GENIE-DFCI-039131-203438	0
crc_public_genie_bpc	GENIE-DFCI-040049-233895	0
crc_public_genie_bpc	GENIE-DFCI-040157-173799	0
crc_public_genie_bpc	GENIE-DFCI-041166-203665	0
crc_public_genie_bpc	GENIE-DFCI-041850-203674	-1
crc_public_genie_bpc	GENIE-DFCI-042280-203533	0
crc_public_genie_bpc	GENIE-DFCI-042434-203683	-1
crc_public_genie_bpc	GENIE-DFCI-046427-282466	-1
crc_public_genie_bpc	GENIE-DFCI-046927-218671	-1
crc_public_genie_bpc	GENIE-DFCI-047535-173803	0
crc_public_genie_bpc	GENIE-DFCI-048577-188666	0
crc_public_genie_bpc	GENIE-DFCI-049415-203653	0
crc_public_genie_bpc	GENIE-DFCI-049928-203664	0
crc_public_genie_bpc	GENIE-DFCI-050749-173868	0
crc_public_genie_bpc	GENIE-DFCI-050757-234382	0
crc_public_genie_bpc	GENIE-DFCI-050759-203290	0
crc_public_genie_bpc	GENIE-DFCI-050796-203583	0
